,lugares,labels,Quotes,order
769,the Tiber River,LOC,"It
stood on the banks of the Tiber River diagonally adjacent to the Vatican",769
770,Vatican,FAC,"It
stood on the banks of the Tiber River diagonally adjacent to the Vatican",770
771,the famous Bridge of Angels,FAC,"And as if that were not enough, leading solely and directly to the castle’s main entrance stood the famous Bridge of Angels ",771
772,Vatican,FAC," 
Langdon knew through the centuries the building had been used by the Vatican as a tomb, a fortress, a papal hideout, a prison for enemies of the church, and a museum",772
773,Vatican,FAC,"Although the castle was property of the Vatican, it was used only sporadically, and Bernini had made numerous renovations to it over the years",773
774,Tiber,LOC,"Someone is up there!
“Vittoria!” he called out, unable to help himself, but his voice was swallowed by the raging Tiber behind him",774
775,Vatican,FAC," 
“Lucky bastard,” the Aussie said, gazing up at the tower, and then frowning at his obstructed view of the Vatican",775
776,St. Peter,GPE,I couldn’t get through the traffic in St,776
777,St. Peter’s,GPE,"“Ain’t you that guy I saw on
TV? Trying to save that cardinal in St",777
778,earth,LOC," 
After one complete turn into the earth, the light was all but gone",778
779,Vittoria,GPE,"When he saw the blood on the floor, Langdon’s first thought was for Vittoria",779
780,Il prigione,GPE, Il prigione,780
781,Castle St. Angelo,FAC,"Il Passetto -The Little Passage-was a slender, three-quarter-mile tunnel built between Castle St",781
782,Vatican,FAC,Angelo and the Vatican,782
783,Vatican,FAC,It had been used by various Popes to escape to safety during sieges of the Vatican ,783
784,Vatican,FAC,Nowadays both ends of the tunnel were supposedly sealed with impenetrable locks whose keys were kept in some Vatican vault,784
785,Vatican,FAC,Langdon suddenly feared he knew how the Illuminati had been moving in and out of the Vatican,785
786,Vatican,FAC,The Illuminati meeting hall was in a building owned by the Vatican,786
787,Vatican,FAC,"No doubt while the Vatican guards were out searching basements and homes of well-known scientists, the Illuminati were meetinghere",787
788,Vatican,FAC,right under the Vatican’s nose,788
789,Vittoria,GPE,"He was bare chested, standing over Vittoria, who lay bound but very much alive",789
790,Vittoria,GPE,The killer stepped away from Vittoria and moved toward Langdon like a stalking lion,790
791,Vatican,FAC,The Vatican will pay more than the Illuminati ever could,791
792,EARTH,LOC," 
ILLUMINATI, EARTH, AIR, FIRE, WATER",792
793,Vatican City,GPE,".”
“But no one could possibly get into Vatican City right now!”
The Hassassin looked smug",793
794,Vatican,FAC,The only person expected at the Vatican right now was the person the press was calling the 11th Hour Samaritan-the person Rocher said had information that could save-Langdon stopped short,794
795,Vatican,FAC,“The Vatican will welcome Janus with open arms,795
796,Samaritan,GPE,Janus is the Samaritan! It was an unthinkable deception,796
797,Vatican City,GPE,"Janus coming to Vatican City on a suicidemission? A question of honor? For an inst 
s m 
ant, Langdon’ 
ind took in the entire
terrifying cycle",797
798,Vatican,FAC,The scream seemed to echo all the way to the Vatican,798
799,St. Peter’s Square,GPE,".”109
M
of S 
eanwhile, in St",799
800,Vatican,FAC,"The crowd was ed far 
too dense and seem more interested in the Vatican’s impending doom than in their own safety",800
801,Vatican,FAC,The Illuminati had no doubt expected the Vatican to be their usual reticent selves in the face of adversity,801
802,the Sistine Chapel,FAC," 
Inside the Sistine Chapel, Cardinal Mortati was getting restless",802
803,Rome,GPE,"Angelo, staring out across Rome, her eyes moist with tears",803
804,Vatican,FAC,She was staring out toward the Vatican,804
805,St. Peter’s Square,GPE,"To her shock, much of St",805
806,Vatican City,GPE," 
“Nobody in Vatican City knows,” Langdon said",806
807,St. Peter’s,GPE,Then a white light from the direction of St,807
808,Vatican City,GPE,"It thundered fifty feet above them, on a beeline for Vatican City",808
809,St. Peter’s,GPE,Vittoria had the uneasy feeling they were too late as they watched the mammoth machine slow to a stop over St,809
810,Vatican,FAC,"Against the white marble, she could see a tiny
speck of a person emerge from the Vatican and move toward the chopper",810
811,the Apostolic Palace,FAC,"Rocher
year’s worth of cancer res 
led Kohler up a handicapped ramp on a circuitous route into the Apostolic Palace",811
812,Frankfurt,GPE,"For a moment, he was eleven years old again, lying in his bed in his parents’ Frankfurt mansion",812
813,Europe,LOC,"The sheets beneath him were Europe’s finest linen, but they were soaked with sweat",813
814,Frankfurt,GPE," 
In the shadows stood three of Frankfurt’s best doctors",814
815,England,GPE,"the one who had sat in the corner for two days, never leaving, begging Max’s pare adm 
nts to let him 
inister some new drug
from England",815
816,Vatican City,GPE,"“Hav 
e to make me a martyr?”112
A ll the while, the narrow tunnel called Il Passettostretched out before Langdon and Vittoria as they dashed toward Vatican City",816
817,Vatican City,GPE,"There, the tunnel leveled out and began its secret course toward Vatican City",817
818,Vatican,FAC,Maybe Kohler gambled that the Vatican would keep the antimatter a secret-refusing to empower the Illuminati by confirming the weapon’s existence,818
819,Vatican,FAC,"Kohler expected the Vatican to be their usual tight-lipped selves about the threat, but the camerlegno changed the rules",819
820,ridicul,GPE,"His credentials and publications had been quoted all night by the media, and as ridicul 
ous as it was, the presence of a Harvard 
professor in Vatican City had somehow raised the whole emergency beyond the scope of paranoid delusion and convinced skeptics around the world that the Illuminati brotherhood was not only a historical fact, but a force to be reckoned with",820
821,Vatican City,GPE,"His credentials and publications had been quoted all night by the media, and as ridicul 
ous as it was, the presence of a Harvard 
professor in Vatican City had somehow raised the whole emergency beyond the scope of paranoid delusion and convinced skeptics around the world that the Illuminati brotherhood was not only a historical fact, but a force to be reckoned with",821
822,St. Peter’s,GPE,It was St,822
823,St. Peter’s,GPE,The sound of St,823
824,Vatican City,GPE,"Peter’s
Square faded behind them now, and Langdon sensed they had passed through the outer wall of Vatican City",824
825,Vatican,FAC,"He wondered where inside the Vatican this ge would
ancient passa 
conclude",825
826,Vatican,FAC,"The private meeting they were shielding, Rocher had said, could save the Vatican from destruction",826
827,the Sistine Chapel,FAC,The cardinals were still locked in the Sistine Chapel,827
828,Vatican City,GPE,"A crippled scientist, in a final act of symbolic dominance, had flown into Vatican City and branded the church’s highest official",828
829,the Sistine Chapel,FAC," 
“Still in the Sistine Chapel!” Chartrand exclaimed",829
830,Vatican,FAC,"Peter’s Square, the Swiss Guard pilot sat in the cockpit of the parked Vatican helicopter and rubbed his temples",830
831,Vatican,FAC," 
A new clamor arose from the crowd, and the pilot looked over to see a line of cardinals processing solemnly out of the Vatican onto St",831
832,St. Pe,GPE," 
A new clamor arose from the crowd, and the pilot looked over to see a line of cardinals processing solemnly out of the Vatican onto St",832
833,ter’s Square,FAC,"Pe 
ter’s Square",833
834,Vittoria,GPE," 
Inside the darkened basilica, Langdo and the two g 
n, Vittoria,
uards strained breathlessly
toward the main exit",834
835,St. Peter’s Basilica,GPE,when Langdon stepped with the others from St,835
836,Vatican,FAC,"As if connected by some sort of universal consciousness, every last me i 
dia screen in the p azza
cut away from their countdown clocks and
itting
their Vatican experts and began transm 
the same footag picture-a jiggling action 
e swooping up the Vatican stairs",836
837,transm,GPE,"As if connected by some sort of universal consciousness, every last me i 
dia screen in the p azza
cut away from their countdown clocks and
itting
their Vatican experts and began transm 
the same footag picture-a jiggling action 
e swooping up the Vatican stairs",837
838,Vatican,FAC,"As if connected by some sort of universal consciousness, every last me i 
dia screen in the p azza
cut away from their countdown clocks and
itting
their Vatican experts and began transm 
the same footag picture-a jiggling action 
e swooping up the Vatican stairs",838
839,Technicolor,GPE,"Now,
everywhere Langdon looked, he saw the camerlegno’s limp body in a Technicolor closeup",839
840,St. Peter’s Square,GPE," 117
R obert Langdon had little doubt that the chaos and hysteria coursing through St",840
841,Vatican Hill,FAC,Peter’s Square at this very instant exceeded anything Vatican Hill had ever witnessed,841
842,Vatican,FAC,The countdown clock registering the final twenty minutes of Vatican history ,842
843,mo,GPE,"“Yes, I hear you!”
In that mo 
His heart dropped like a rock",843
844,St. Peter’s Basilica,GPE," 
With a final joyous exultation, the camerlegno turned and dashed back into St",844
845,St. Peter’s Basilica,GPE," 
The main aisle of St",845
846,Olympic,GPE,"Peter’s Basilica, Lieutenant Chartrand had once figured out, was longer than an Olympic soccer field",846
847,Vatican,FAC,Langdon understood; had read enough about Vatican architecture to know what lay beneath that grate,847
848,Holy Ground,FAC,Holy Ground,848
849,Necropolis,FAC,Some called it the Necropolis,849
850,Necropolis,FAC,"According to accounts f om
the select few clergy who had descended over th 
aze
e years, the Necropolis was a dark m 
of subterranean crypts that could swallow a visitor
the
whole if he lost his way",850
851,Vatican Hill-Peter,FAC,"On this very location, Langdon realized-Vatican Hill-Peter had been crucified and buried",851
852,St. Peter,GPE,"The entire Catholic faith had been built, quite literally, upon St",852
853,St. Peter’s,GPE," 
“The antimatter is on St",853
854,St. Peter’s,GPE,Placing the antimatter on St,854
855,earth,LOC," 119 
T he stone steps declined steeply into the earth",855
856,earth,LOC,Placing the antimatter three stories beneath the earth seemed an almost noble and merciful choice,856
857,earth,LOC,"There would be no heat blast, no flying shrapnel to injure onlookers, just a biblical opening of the earth and a towering basilica crumbling into a crater",857
858,Vatican,FAC,"Was Kohler’s loathing really this profound? Destruction of the Vatican? Hiring an assassin? The murders of her father, the Pope, and four cardinals? It seemed unthinkable",858
859,Vatican,FAC,"And how had Kohler ma 
naged all this treachery within 
the Vatican walls? Rocher was Kohler’s inside man , Vittoria told herself",859
860,Necropolis,GPE,"No doubt Captain Rocher had keys to everything-the Pope’s chambers, Il Passetto , the Necropolis, St",860
861,St. Peter’s,GPE,"No doubt Captain Rocher had keys to everything-the Pope’s chambers, Il Passetto , the Necropolis, St",861
862,St. Peter’s,GPE,He could have placed the antimatter on St,862
863,Vatican,FAC,Peter’s tomb-a highly restricted locale-and then commanded his guards not to waste time searching the Vatican’s restricted areas,863
864,earth,LOC," 
It was in that moment of clarity, as Vittoria plunged deeper into the earth, that she felt her own mind open ",864
865,Vatican City,GPE,"“You don’t understand!” Vittori 
pictured the multitudes of people surrounding Vatican City, and her blood ran cold",865
866,St. Pete,GPE,"Not only had he accepted
the camerlegno’s divine revelation of the antimatter’s location, but he was lobbying for r’s Basilica-one of
the destruction of St",866
867,earth,LOC,"Pete 
the greatest architectural feats on earth ",867
868,St. Peter,GPE,burial place of St,868
869,Vatican City,GPE,"Nine minutes is not enough time to get the hell out ofno is wrong Vatican City if the camerleg 
",869
870,Vatican Hill,FAC,He was running up the original Vatican Hill! Langdon had heard Vatican scholars claim that St,870
871,Vatican,FAC,He was running up the original Vatican Hill! Langdon had heard Vatican scholars claim that St,871
872,St. Peter’s,GPE,He was running up the original Vatican Hill! Langdon had heard Vatican scholars claim that St,872
873,Vatican Hill,FAC,"Peter’s tomb was near the topof Vatican Hill, and he had always wondered how they knew",873
874,earth,LOC,The necropolis came to an abrupt halt at a wall of earth,874
875,Mortati,GPE,"Although Mortati had seen the coffin only once in his life, he knew beyond a doubt what it contained",875
876,Mortati,GPE,"Mortati crossed himself, certain th 
e m 
is was th 
ost frightful image he had seen in his
entire life",876
877,Necropolis,GPE,Fleeting freeze-frames of confusion and terror as the chaotic cortege stumbled through the shadows back toward the Necropolis entrance,877
878,Mortati,GPE," 
Out in the square, Mortati let out a fearful gasp",878
879,St. Peter’s Basilica,GPE," 121
T he camerlegno erupted through the doors of St",879
880,St. Peter’s S,GPE,"The roar that went up from the cr 
quare was like none the
owd in St",880
881,the Mediterranean Sea,LOC,First he pictured the wide-open expanse of the Mediterranean Sea,881
882,St. Peter’s,GPE,The glow of St,882
883,Mediterranean,LOC,"In the distance to the west, Langdon could see the twinkling delineation of the Mediterranean coast-a jagged border of luminescence beyond which spread an endless dark expanse of nothingness",883
884,St. Peter’s,GPE,"Directly beneath them, thousands of feet straight down, glowed the media lights in St",884
885,Vatican,FAC," We’re still over the Vatican!
“Camerlegno!” Langdon choked",885
886,Vatican City,GPE,"“Go forward! We’re high enough! You’ve got to start moving forward! We can’t drop the canister back over Vatican City!”
The camerlegno did not reply",886
887,Vatican City,GPE,He was simply getting it as far away from Vatican City as humanly possible,887
888,St. Peter’s,GPE," 
Then, cruelly, the bells of St",888
889,Vatican City,GPE," 
High above Vatican City, a pinpoint of light appeared in the sky",889
890,Rome,GPE,"For that instant, a perfect and silent sphere of light glowed over Rome",890
891,Vatican City,GPE,"It descended on them like the wrath of hell, shaking the granite foundation of Vatican City, knocking the breath out of people’s lungs, sending others stumbling backward",891
892,Castle St. Angelo,FAC," 
He had come for her at Castle St",892
893,Mortati,GPE,Does one need to believe in miracles to experience them? Mortati was a modern man in an ancient faith,893
894,Mortati,GPE,"and yet, Mortati’s rational mind had always justified these accounts as part of the myth",894
895,Mortati,GPE," 
Incredibly, though, Mortati never suspected the extent to which his faith was about to be tested ",895
896,St. Peter’s Square,GPE," 
The silence of St",896
897,St. Peter’s Basilica,GPE,"Everyone was pointing behind him 
toward the front of St",897
898,Rome,GPE,"Beyond the open door, the lights of Rome looked farther away with every passing second",898
899,"Sc 
es",GPE,"Sc 
es of sheer panic",899
900,Rome,GPE,"He raced 
in theto the open doorway of the chopper and stood
raging wind, gazing down at the lights of Rome below",900
901,Rome,GPE," 
Beneath him, the lights of Rome spread out in all directions",901
902,Tiber River,LOC,the thankfulness that the winding Tiber River was raging ,902
903,fla,GPE," 
It had been the thundering sound of the fla 
pping canopy that drew the group’s eyes away 
from the fireball in the sky",903
904,Rome,GPE,The sky above Rome had been filled with sights tonight ,904
905,the Tiber River,LOC,"a skyrocketing helicopter, an enormous explosion, and now this stra d
nge object that ha 
plummeted into the churning waters of the Tiber River, directly off the shore of the river’s tiny island, Isola Tiberina",905
906,Rome,GPE,"For this reason, the island had later become the site for Rome’s Hospital Tiberina",906
907,St. Peter’s,GPE,The silence of the vision over St,907
908,Camerlegno Ventresca,FAC," 
As he stared up at Camerlegno Ventresca, Mortati felt the paralyzing collision of his heart and mind",908
909,Mortati,GPE," 
As he stared up at Camerlegno Ventresca, Mortati felt the paralyzing collision of his heart and mind",909
910,Mortati,GPE,Mortati looked around him and tried to comprehend,910
911,St. Peter’s Basilica,GPE,"Is this really happening?
Camerlegno Carlo Ventresca stood on the rooftop terrace of St",911
912,St. Peter’s Basilica,GPE,"alighting like a silent angel on the deserted lawns, his black parachute shrouded from the madness by the towering shadow of St",912
913,Vatican City,GPE,"And yet, the events in Vatican City tonight had put his systematic logic to the test",913
914,the Tiber River,LOC,Jacobus felt the pulse of the bedraggled man they had just pulled from the Tiber River,914
915,Rome,GPE," American? Roma joked that Am 
ns often 
ericans had gotten so abundant in Rome that
hamburgers should become the official Italian food",915
916,Vatican,FAC,"Langdon,
the Vatican",916
917,St. Peter’s,GPE,"Jac 
only minutes ago, getting into a helicopter in St",917
918,Vatican,FAC,Apparently Camerlegno Ventresca had just miraculously appeared on the roof of the Vatican,918
919,Vatican City,GPE,I am going to Vatican City,919
920,Vatic,GPE,"One does an City with one’s ass
not go to Vatic 
hanging out",920
921,Vatican,FAC,The doctor had assured Langdon she would get him to the Vatican in record time,921
922,Vatican,FAC," “Molto traffico,” Langdon said, reminding her that the area around the Vatican was packed with cars and people",922
923,Vatican City,GPE,“Fly Vatican City,923
924,the Sistine Chapel,FAC,".”128
T he College of Cardinals bristled with ebullience and electricity as they streamed back into the Sistine Chapel",924
925,Mortati,GPE,"In contrast, Mortati felt in himself a rising confusion he thought might lift him off the floor and carry him away",925
926,Mortati,GPE,"After a lifetim 
votion, seventy-nine years, Mortati knew
e of de 
these events should ignite in him a pious exuberance ",926
927,the Sistine Chapel,FAC,We await his arrival in the Sistine Chapel,927
928,the Royal Staircase,FAC,"As he walked down the hall, he saw Vittoria Vetra slumped alone on a bench at the foot of the Royal Staircase",928
929,Vatican City,GPE," 
Hospital Tiberina’s twin r 
- otor Aero-Ambulanzacircled in behind Vatican City, and Langdon clenched his teeth, swearing to God this was the very last helicopter ride of his life",929
930,Vatican,FAC," 
After convincing the pilot that the rules governing Vatican airspace were the least of the Vatican’s concerns right now, he guided her in, unseen, over the rear wall, and landed them on the Vatican’s helipad",930
931,Vatican,FAC," 
After convincing the pilot that the rules governing Vatican airspace were the least of the Vatican’s concerns right now, he guided her in, unseen, over the rear wall, and landed them on the Vatican’s helipad",931
932,Vatican,FAC," 
After convincing the pilot that the rules governing Vatican airspace were the least of the Vatican’s concerns right now, he guided her in, unseen, over the rear wall, and landed them on the Vatican’s helipad",932
933,the Sistine Chapel,FAC," 
At the back of the Sistine Chapel, Cardinal Mortati stood in a daze as he watched the pandemonium before him",933
934,Mortati,GPE,Mortati longed to feel his heart swept up in the miraculous exultation he saw in the faces around him,934
935,Mortati,GPE,".”
“But what happened here tonight,” someone stammered, “it certainlytranscends our laws!”
“Does it?” Mortati boomed, not even knowing now where his words were coming from",935
936,the Sistine Chapel,FAC,"“I am not questioning God’s power! It is Godwho gave us reason and circumspection! It is God we serve by exercising prudence!”291 
I n the hallway outside the Sistine Chapel, Vittoria Vetra sat benumon a bench at the bed 
foot of the Royal Staircase",936
937,the Royal Staircase,FAC,"“I am not questioning God’s power! It is Godwho gave us reason and circumspection! It is God we serve by exercising prudence!”291 
I n the hallway outside the Sistine Chapel, Vittoria Vetra sat benumon a bench at the bed 
foot of the Royal Staircase",937
938,the Sistine Chapel,FAC," 
“It is God’s will!” someone was yelling, his voice echoing in the Sistine Chapel",938
939,Vatican,FAC," 
“Leonardo came to the Vatican in great
ughter’s
secrecy",939
940,Vatican City,GPE,You returned to Vatican City to report to the Pope what you had witnessed,940
941,"st 
",FAC,"st 
feet, gun wavering
wildly before him",941
942,the Sistine Chapel,FAC,"As thedown the Royal St 
Swiss Guard helped him 
aircase toward the Sistine Chapel, the
camerlegno heard singing in St",942
943,St. Peter’s,GPE,"As thedown the Royal St 
Swiss Guard helped him 
aircase toward the Sistine Chapel, the
camerlegno heard singing in St",943
944,St. Peter’s,GPE, earthen floor before St,944
945,the Sistine Chapel,FAC," 
As the guards unbolted the door of the Sistine Chapel, Camerlegno Carlo Ventresca felt the power moving in his veins ",945
946,the Sistine Chapel,FAC," 131 
C amerlegno Carlo Ventresca stood in the aisle of the Sistine Chapel",946
947,the Sistine Chapel,FAC," 
And so it was that Camerlegno Carlo Ventresca held his head high as he walked toward ove 
the front of the Sistine Chapel",947
948,St. Peter’s,GPE,"“Which is the greater sin? Killing one’s enem 
y? Or 
standing idle while your true love is strangled?” They are singing in St",948
949,the Sistine Chapel,FAC," 
The voice that broke the silence was the voice of the only woman in the Sistine Chapel",949
950,hallucinati,GPE,"They denounce God as a hallucinati 
a delusional crutch for those too weak to accept that life is meaningless",950
951,Mortati,GPE,"Is this God’s final test?
It was Mortati who broke the spell",951
952,Mortati,GPE," 
“The preferiti ,” Mortati repeated",952
953,St. Peter’s,GPE,They are singing in St,953
954,Mortati,GPE,"Peter’s Square!”
The camerlegno saw the horror in Mortati’s eyes and again felt confused",954
955,Mortati,GPE,Was it the morphine? Mortati was looking at him as if the camerlegno himself had killed these men with his bare hands,955
956,Vatican,FAC,"Mortati had no way of knowing, but the brands had been confiscated by the Vatican over a century ago",956
957,Rome,GPE,"In addition to these, the camerlegno had found the Illuminati Collection-all the secrets the church had uncovered after banishing the group from Rome ",957
958,Vatican,FAC,"the cunning deceit of the Vatican’s head artist, Bernini ",958
959,Europe,LOC,Europe’s top scientists mocking religion as they secretly assembled in the Vatican’s own Castle St,959
960,Vatican,FAC,Europe’s top scientists mocking religion as they secretly assembled in the Vatican’s own Castle St,960
961,Castle St. Angelo,FAC,Europe’s top scientists mocking religion as they secretly assembled in the Vatican’s own Castle St,961
962,Illuminati Diamond,LOC,"The collection included a pentagon box containing iron brands, one of them the mythical Illuminati Diamond",962
963,Vatican,FAC,This was a part of Vatican history the ancients thought best forgotten,963
964,Vatican,FAC,"“You risked destroying the Vatican!”
“There is no risk when God is at your side,” the camerlegno said",964
965,the Sistine Chapel,FAC,"Did they think his was a simple charge? “Those who believeundergo great tests for God! God asked Abraham to sacrifice his child! God commanded Jesus to endure crucifixion! And so we hang the symbol of the crucifix before our eyes-bloody, painful, agonizing-to remi 
nd us 
of evil’s power! To keep our hearts vigilant! The scars on Jesus’ body are a living reminder of the powers of darkness! My scars are a living reminder! Evil lives, but the power of God will overcome!”
His shouts echoed off the back wall of the Sistine Chapel and then a prof nd silence
ou 
fell",965
966,Mortati,GPE,Tears brimmed in Mortati’s eyes,966
967,Vatican,FAC,"He even suggested the Vatican fundfVetra’s work as a gesture o 
goodwill toward spiritually based scientific research",967
968,St. Peter’s,GPE," 132
T he camer on the dirt 
legno lay curled in a ball floor in front of St",968
969,"The  
Necropolis",FAC,"The
Necropolis was cold, but it helped clot the blood flowing from the wounds he had torn at his own flesh",969
970,St. Peter’s,GPE,"How could His Holiness expect him to endure any m h,
ore? O 
the wretched depravity of it! What if someone else found out? Imagine the desecration to the church! Did the Pope’s holy vows mean nothing?
The madness came quickly, scream 
ar 
ing in his e s, until he awoke before St",970
971,Mortati,GPE,"“His Holiness was as devout a man as ever lived!”
It was Mortati who spoke next, his voice thin with devastation",971
972,Mortati,GPE,.” Every cardinal in the chapel spun as though Mortati had just shouted an obscenity,972
973,Vatican,FAC,"The infamous
“Devil’s Advocate” was theauthority when it came to scandalous information inside the Vatican",973
974,Mortati,GPE,"Let me explain!
Slowly, sadly, Mortati let the tale unfold",974
975,Palermo,GPE,"“That 
e to you in the hospitalis why His Holiness cam 
in Palermo when you were a boy",975
976,Mortati,GPE," 
“Wait!” It was Mortati",976
977,Vittoria,GPE,.” He stared down at his feet a long moment then back up at Vittoria and Langdon,977
978,the Sistine Chapel,FAC," 134 
C amerlegno Ventresca’s white robe billowed as he moved down the hallway away from the Sistine Chapel",978
979,Vatican,FAC," 
It was raining the morning the Vatican staff banged on the camerlegno’s door, awakening him from a fitful sleep",979
980,St. Peter’s Basilica,GPE," 
The camerlegno staggered now through the dark 
e 
ness of St",980
981,Holy Ground,FAC,God was returning him to Holy Ground,981
982,Necropolis,FAC,The camerlegno moved toward the grate covering the hole that led down to the Necropolis,982
983,Necropolis,FAC,The Necropolis is where this night w end,983
984,the Sistine Chapel,FAC," 
Three minutes had passed in the chaotic hallways outside the Sistine Chapel, and still nobody could locate the camerlegno",984
985,Mortati,GPE,Mortati was about to demand a full-scale search of Vatican City when a roar of jubilation erupted outside in St,985
986,Vatican City,GPE,Mortati was about to demand a full-scale search of Vatican City when a roar of jubilation erupted outside in St,986
987,St. Peter’s,GPE,Mortati was about to demand a full-scale search of Vatican City when a roar of jubilation erupted outside in St,987
988,St. Peter’s,GPE,".”
For the second time that evening, the College of Cardinals flooded onto St",988
989,"ont 
basilica",FAC,"The m dia lights and cameras were all pivoted toward the ng just stepped ont 
basilica",989
990,St. Peter’s Square,GPE," 
They were singing in St",990
991,Vatican City,GPE,All that was left was a cloud of smoke spiraling skyward over Vatican City,991
992,Rome,GPE," 135
D awn came late to Rome",992
993,St. Peter’s Square,GPE," 
An early rainstorm had washed the crowds from St",993
994,Vatican,FAC,"Thus far, the Vatican had remained silent, issuing no statement whatsoever",994
995,the Vatican Grottoes,FAC," 
Deep in the Vatican Grottoes 
s",995
996,Mortati,GPE," 
At Mortati’s feet was a golden urn, heavy with ashes",996
997,Mortati,GPE,"He knewof sight benea 
this sacred grotto was reserved exclusively for the relics of Popes, but somehow Mortati sensed this was appropriate",997
998,the Borgia Courtyard,FAC," 
Mortati was alone as he crossed the Borgia Courtyard toward the Sistine Chapel",998
999,the Sistine Chapel,FAC," 
Mortati was alone as he crossed the Borgia Courtyard toward the Sistine Chapel",999
1000,the Apostolic Palace,FAC,A fellow cardinal emerged from the Apostolic Palace and strode beside him,1000
1001,the Borgia Courtyard,FAC," 
As they reached the end of the Borgia Courtyard, the cardinal hesitated",1001
1002,Mortati,LOC,"He ed toturn 
Mortati with a troubled mystification, as if the precarious awe of the night before had slipped back into his heart",1002
1003,St. Peter’s Square,GPE," 
Far below, in St",1003
1004,the Sistine Chapel,FAC," 
Glick glanced over his shoulder at the roof of the Sistine Chapel behind him",1004
1005,Vatican City,GPE," 
“Live from Vatican City,” Glick announced on cue, “this is Gunther Glick reporting",1005
1006,the Sistine Chapel,FAC,.” He gave the camera a solemn stare as the white smoke rose behind him from the Sistine Chapel,1006
1007,Vatican City,GPE," 
nine-year-old progressive, has just been elected the next Pope of Vatican City",1007
1008,Vatican City,GPE," 
Other casualties include Leonardo Vetra, the renowned CERN physicist and pioneer of antimatter technology, as well as Maximilian Kohler, the director of CERN, who apparently came to Vatican City in an effort to help but reportedly passed away in the process",1008
1009,Vatican,GPE," 
“And in the wake of the e 
Vatican last night, CERN’s
xplosion in the sky over the
antimatter technology has become the 
tists, sparking excitem hot topic among scien 
ent
and controversy",1009
1010,Geneva,GPE,"Kohler’s assistant in Geneva, Sylvie Baudeloque, announced this morning that CERN’s board of directors, although enthusiastic about antimatter’s potential, are suspending all research and licensing until further inquiries into its safety can be examined",1010
1011,Vatican City,GPE," 
“Notably absent from our screens tonight,” Glick reported, “is the face of Robert Langdon, the Harvard professor who came to Vatican City yesterday to lend his expertise during this Illuminati crisis",1011
1012,St. Peter’s,GPE,"Although originally thought to have perished in the antimatter blast, we now have reports that Langdon was spotted in St",1012
1013,the Tiber River,LOC,"Langdon fell out of the sky into the Tiber River shortly after midnight, was treated, and released",1013
1014,Chicago,GPE,"Nutcase!
“May I introduce,” Glick announced, “the renowned Vatican scholar from De Paul University in Chicago",1014
1015,the Vatican Grottoes,FAC,"And had he not ascended miraculously into a pillar of fire, he would now be buried in the Vatican Grottoes along with the other Popes",1015
1016,Vittoria,GPE," 
As he gazed at Vittoria’s bed, he saw a boldly embroidered seal on her pillowcase",1016
1017,Triton Fountain,FAC,Old World luxury overlooking Bernini’s Triton Fountain ,1017
1018,Rome,GPE,there was no more fitting hotel in all of Rome,1018
1019,Vatican City,GPE,".”
Langdon felt a sudden anxiety, wondering if the cardinals had sent Chartrand to escort Langdon and Vittoria back to Vatican City",1019
1020,Vatican,FAC," 
“His Holiness asked me to give this to you,” Chartrand said, handing over an envelope sealed with the Vatican signet",1020
1021,St. Peter’s Square,GPE,He and Vittoria had talked about it last night as they stole away from St,1021
1022,earth,LOC,"“Maybe for your nextexperiment, you could study flounders and prove the earth is flat",1022
1023,New England,LOC,He lives in New England with his wife,1023
